Month,USCICCHGB,USCILNNCB,USCOMILNB,USCOMILND,USCRDCONB,USCRDNRVB,USCRDREVB,USFCLANMP,USFCLFANA,USMGPCH1A,USMGPIHEA,USNCHCINB,USNFIBBNR,USNFIBCBQ,USNFIBCHQ,USNFIBRPR
195001,3.40000,1.20000,12677.00000,NaN,19.10000,19.10000,NaN,NaN,NaN,NaN,NaN,3.30000,NaN,NaN,NaN,NaN
195002,3.80000,1.00000,12764.00000,NaN,19.40000,19.40000,NaN,NaN,NaN,NaN,NaN,3.80000,NaN,NaN,NaN,NaN
195003,4.30000,0.00000,12763.00000,NaN,19.70000,19.70000,NaN,NaN,NaN,NaN,NaN,4.40000,NaN,NaN,NaN,NaN
195004,5.00000,1.00000,12849.00000,NaN,20.10000,20.10000,NaN,NaN,NaN,NaN,NaN,5.00000,NaN,NaN,NaN,NaN
195005,5.60000,1.00000,12936.00000,NaN,20.60000,20.60000,NaN,NaN,NaN,NaN,NaN,5.70000,NaN,NaN,NaN,NaN
195006,6.00000,3.70000,13242.00000,NaN,21.10000,21.10000,NaN,NaN,NaN,NaN,NaN,6.00000,NaN,NaN,NaN,NaN
195007,11.60000,4.50000,13619.00000,NaN,22.10000,22.10000,NaN,NaN,NaN,NaN,NaN,11.60000,NaN,NaN,NaN,NaN
195008,7.70000,5.30000,14057.00000,NaN,22.70000,22.70000,NaN,NaN,NaN,NaN,NaN,7.70000,NaN,NaN,NaN,NaN
195009,5.30000,7.70000,14696.00000,NaN,23.20000,23.20000,NaN,NaN,NaN,NaN,NaN,5.30000,NaN,NaN,NaN,NaN
195010,0.80000,4.00000,15027.00000,NaN,23.20000,23.20000,NaN,NaN,NaN,NaN,NaN,0.80000,NaN,NaN,NaN,NaN
195011,0.20000,5.20000,15462.00000,NaN,23.30000,23.30000,NaN,NaN,NaN,NaN,NaN,0.20000,NaN,NaN,NaN,NaN
195012,-0.40000,6.30000,15986.00000,NaN,23.20000,23.20000,NaN,NaN,NaN,NaN,NaN,-0.40000,NaN,NaN,NaN,NaN
